year,week,week_start,metric,vax,number
2021,18,2021-05-02,Cases,Fully vaccinated,370
2021,18,2021-05-02,Cases,Not fully vaccinated,6771
2021,18,2021-05-02,Deaths,Fully vaccinated,10
2021,18,2021-05-02,Deaths,Not fully vaccinated,38
2021,18,2021-05-02,Hospitalizations,Fully vaccinated,43
2021,18,2021-05-02,Hospitalizations,Not fully vaccinated,415
2021,19,2021-05-09,Cases,Fully vaccinated,309
2021,19,2021-05-09,Cases,Not fully vaccinated,4596
2021,19,2021-05-09,Deaths,Fully vaccinated,5
2021,19,2021-05-09,Deaths,Not fully vaccinated,26
2021,19,2021-05-09,Hospitalizations,Fully vaccinated,38
2021,19,2021-05-09,Hospitalizations,Not fully vaccinated,332
2021,20,2021-05-16,Cases,Fully vaccinated,263
2021,20,2021-05-16,Cases,Not fully vaccinated,3259
2021,20,2021-05-16,Deaths,Fully vaccinated,3
2021,20,2021-05-16,Deaths,Not fully vaccinated,26
2021,20,2021-05-16,Hospitalizations,Fully vaccinated,42
2021,20,2021-05-16,Hospitalizations,Not fully vaccinated,281
2021,21,2021-05-23,Cases,Fully vaccinated,189
2021,21,2021-05-23,Cases,Not fully vaccinated,1757
2021,21,2021-05-23,Deaths,Fully vaccinated,3
2021,21,2021-05-23,Deaths,Not fully vaccinated,16
2021,21,2021-05-23,Hospitalizations,Fully vaccinated,22
2021,21,2021-05-23,Hospitalizations,Not fully vaccinated,182
2021,22,2021-05-30,Cases,Fully vaccinated,130
2021,22,2021-05-30,Cases,Not fully vaccinated,1148
2021,22,2021-05-30,Deaths,Fully vaccinated,5
2021,22,2021-05-30,Deaths,Not fully vaccinated,10
2021,22,2021-05-30,Hospitalizations,Fully vaccinated,26
2021,22,2021-05-30,Hospitalizations,Not fully vaccinated,137
2021,23,2021-06-06,Cases,Fully vaccinated,107
2021,23,2021-06-06,Cases,Not fully vaccinated,782
2021,23,2021-06-06,Deaths,Fully vaccinated,1
2021,23,2021-06-06,Deaths,Not fully vaccinated,6
2021,23,2021-06-06,Hospitalizations,Fully vaccinated,27
2021,23,2021-06-06,Hospitalizations,Not fully vaccinated,97
2021,24,2021-06-13,Cases,Fully vaccinated,131
2021,24,2021-06-13,Cases,Not fully vaccinated,582
2021,24,2021-06-13,Deaths,Fully vaccinated,3
2021,24,2021-06-13,Deaths,Not fully vaccinated,3
2021,24,2021-06-13,Hospitalizations,Fully vaccinated,24
2021,24,2021-06-13,Hospitalizations,Not fully vaccinated,69
2021,25,2021-06-20,Cases,Fully vaccinated,111
2021,25,2021-06-20,Cases,Not fully vaccinated,503
2021,25,2021-06-20,Deaths,Fully vaccinated,2
2021,25,2021-06-20,Deaths,Not fully vaccinated,4
2021,25,2021-06-20,Hospitalizations,Fully vaccinated,18
2021,25,2021-06-20,Hospitalizations,Not fully vaccinated,73
2021,26,2021-06-27,Cases,Fully vaccinated,162
2021,26,2021-06-27,Cases,Not fully vaccinated,541
2021,26,2021-06-27,Deaths,Fully vaccinated,1
2021,26,2021-06-27,Deaths,Not fully vaccinated,3
2021,26,2021-06-27,Hospitalizations,Fully vaccinated,26
2021,26,2021-06-27,Hospitalizations,Not fully vaccinated,72
2021,27,2021-07-04,Cases,Fully vaccinated,214
2021,27,2021-07-04,Cases,Not fully vaccinated,693
2021,27,2021-07-04,Deaths,Fully vaccinated,1
2021,27,2021-07-04,Deaths,Not fully vaccinated,6
2021,27,2021-07-04,Hospitalizations,Fully vaccinated,21
2021,27,2021-07-04,Hospitalizations,Not fully vaccinated,73
2021,28,2021-07-11,Cases,Fully vaccinated,385
2021,28,2021-07-11,Cases,Not fully vaccinated,1061
2021,28,2021-07-11,Deaths,Fully vaccinated,2
2021,28,2021-07-11,Deaths,Not fully vaccinated,16
2021,28,2021-07-11,Hospitalizations,Fully vaccinated,37
2021,28,2021-07-11,Hospitalizations,Not fully vaccinated,128
2021,29,2021-07-18,Cases,Fully vaccinated,702
2021,29,2021-07-18,Cases,Not fully vaccinated,1754
2021,29,2021-07-18,Deaths,Fully vaccinated,5
2021,29,2021-07-18,Deaths,Not fully vaccinated,8
2021,29,2021-07-18,Hospitalizations,Fully vaccinated,48
2021,29,2021-07-18,Hospitalizations,Not fully vaccinated,166
2021,30,2021-07-25,Cases,Fully vaccinated,1270
2021,30,2021-07-25,Cases,Not fully vaccinated,2784
2021,30,2021-07-25,Deaths,Fully vaccinated,13
2021,30,2021-07-25,Deaths,Not fully vaccinated,17
2021,30,2021-07-25,Hospitalizations,Fully vaccinated,66
2021,30,2021-07-25,Hospitalizations,Not fully vaccinated,195
2021,31,2021-08-01,Cases,Fully vaccinated,1913
2021,31,2021-08-01,Cases,Not fully vaccinated,3875
2021,31,2021-08-01,Deaths,Fully vaccinated,10
2021,31,2021-08-01,Deaths,Not fully vaccinated,25
2021,31,2021-08-01,Hospitalizations,Fully vaccinated,82
2021,31,2021-08-01,Hospitalizations,Not fully vaccinated,286
2021,32,2021-08-08,Cases,Fully vaccinated,2455
2021,32,2021-08-08,Cases,Not fully vaccinated,4902
2021,32,2021-08-08,Deaths,Fully vaccinated,22
2021,32,2021-08-08,Deaths,Not fully vaccinated,33
2021,32,2021-08-08,Hospitalizations,Fully vaccinated,120
2021,32,2021-08-08,Hospitalizations,Not fully vaccinated,349
2021,33,2021-08-15,Cases,Fully vaccinated,3217
2021,33,2021-08-15,Cases,Not fully vaccinated,5926
2021,33,2021-08-15,Deaths,Fully vaccinated,26
2021,33,2021-08-15,Deaths,Not fully vaccinated,45
2021,33,2021-08-15,Hospitalizations,Fully vaccinated,146
2021,33,2021-08-15,Hospitalizations,Not fully vaccinated,409
2021,34,2021-08-22,Cases,Fully vaccinated,3351
2021,34,2021-08-22,Cases,Not fully vaccinated,6046
2021,34,2021-08-22,Deaths,Fully vaccinated,38
2021,34,2021-08-22,Deaths,Not fully vaccinated,41
2021,34,2021-08-22,Hospitalizations,Fully vaccinated,162
2021,34,2021-08-22,Hospitalizations,Not fully vaccinated,386
2021,35,2021-08-29,Cases,Fully vaccinated,3939
2021,35,2021-08-29,Cases,Not fully vaccinated,6924
2021,35,2021-08-29,Deaths,Fully vaccinated,30
2021,35,2021-08-29,Deaths,Not fully vaccinated,59
2021,35,2021-08-29,Hospitalizations,Fully vaccinated,163
2021,35,2021-08-29,Hospitalizations,Not fully vaccinated,422
2021,36,2021-09-05,Cases,Fully vaccinated,3914
2021,36,2021-09-05,Cases,Not fully vaccinated,7105
2021,36,2021-09-05,Deaths,Fully vaccinated,34
2021,36,2021-09-05,Deaths,Not fully vaccinated,66
2021,36,2021-09-05,Hospitalizations,Fully vaccinated,168
2021,36,2021-09-05,Hospitalizations,Not fully vaccinated,450
2021,37,2021-09-12,Cases,Fully vaccinated,4714
2021,37,2021-09-12,Cases,Not fully vaccinated,8211
2021,37,2021-09-12,Deaths,Fully vaccinated,50
2021,37,2021-09-12,Deaths,Not fully vaccinated,76
2021,37,2021-09-12,Hospitalizations,Fully vaccinated,220
2021,37,2021-09-12,Hospitalizations,Not fully vaccinated,499
2021,38,2021-09-19,Cases,Fully vaccinated,5020
2021,38,2021-09-19,Cases,Not fully vaccinated,8940
2021,38,2021-09-19,Deaths,Fully vaccinated,51
2021,38,2021-09-19,Deaths,Not fully vaccinated,75
2021,38,2021-09-19,Hospitalizations,Fully vaccinated,216
2021,38,2021-09-19,Hospitalizations,Not fully vaccinated,473
2021,39,2021-09-26,Cases,Fully vaccinated,6521
2021,39,2021-09-26,Cases,Not fully vaccinated,10408
2021,39,2021-09-26,Deaths,Fully vaccinated,60
2021,39,2021-09-26,Deaths,Not fully vaccinated,83
2021,39,2021-09-26,Hospitalizations,Fully vaccinated,269
2021,39,2021-09-26,Hospitalizations,Not fully vaccinated,523
2021,40,2021-10-03,Cases,Fully vaccinated,6756
2021,40,2021-10-03,Cases,Not fully vaccinated,10333
2021,40,2021-10-03,Deaths,Fully vaccinated,60
2021,40,2021-10-03,Deaths,Not fully vaccinated,101
2021,40,2021-10-03,Hospitalizations,Fully vaccinated,256
2021,40,2021-10-03,Hospitalizations,Not fully vaccinated,546
2021,41,2021-10-10,Cases,Fully vaccinated,5705
2021,41,2021-10-10,Cases,Not fully vaccinated,8542
2021,41,2021-10-10,Deaths,Fully vaccinated,67
2021,41,2021-10-10,Deaths,Not fully vaccinated,83
2021,41,2021-10-10,Hospitalizations,Fully vaccinated,226
2021,41,2021-10-10,Hospitalizations,Not fully vaccinated,500
2021,42,2021-10-17,Cases,Fully vaccinated,5321
2021,42,2021-10-17,Cases,Not fully vaccinated,7526
2021,42,2021-10-17,Deaths,Fully vaccinated,73
2021,42,2021-10-17,Deaths,Not fully vaccinated,88
2021,42,2021-10-17,Hospitalizations,Fully vaccinated,221
2021,42,2021-10-17,Hospitalizations,Not fully vaccinated,444
2021,43,2021-10-24,Cases,Fully vaccinated,6786
2021,43,2021-10-24,Cases,Not fully vaccinated,8861
2021,43,2021-10-24,Deaths,Fully vaccinated,85
2021,43,2021-10-24,Deaths,Not fully vaccinated,83
2021,43,2021-10-24,Hospitalizations,Fully vaccinated,283
2021,43,2021-10-24,Hospitalizations,Not fully vaccinated,513
2021,44,2021-10-31,Cases,Fully vaccinated,8945
2021,44,2021-10-31,Cases,Not fully vaccinated,11169
2021,44,2021-10-31,Deaths,Fully vaccinated,89
2021,44,2021-10-31,Deaths,Not fully vaccinated,121
2021,44,2021-10-31,Hospitalizations,Fully vaccinated,333
2021,44,2021-10-31,Hospitalizations,Not fully vaccinated,645
2021,45,2021-11-07,Cases,Fully vaccinated,10517
2021,45,2021-11-07,Cases,Not fully vaccinated,13131
2021,45,2021-11-07,Deaths,Fully vaccinated,108
2021,45,2021-11-07,Deaths,Not fully vaccinated,150
2021,45,2021-11-07,Hospitalizations,Fully vaccinated,406
2021,45,2021-11-07,Hospitalizations,Not fully vaccinated,779
2021,46,2021-11-14,Cases,Fully vaccinated,10891
2021,46,2021-11-14,Cases,Not fully vaccinated,13324
2021,46,2021-11-14,Deaths,Fully vaccinated,86
2021,46,2021-11-14,Deaths,Not fully vaccinated,163
2021,46,2021-11-14,Hospitalizations,Fully vaccinated,349
2021,46,2021-11-14,Hospitalizations,Not fully vaccinated,802
2021,47,2021-11-21,Cases,Fully vaccinated,9364
2021,47,2021-11-21,Cases,Not fully vaccinated,11445
2021,47,2021-11-21,Deaths,Fully vaccinated,113
2021,47,2021-11-21,Deaths,Not fully vaccinated,162
2021,47,2021-11-21,Hospitalizations,Fully vaccinated,406
2021,47,2021-11-21,Hospitalizations,Not fully vaccinated,817
2021,48,2021-11-28,Cases,Fully vaccinated,12739
2021,48,2021-11-28,Cases,Not fully vaccinated,15618
2021,48,2021-11-28,Deaths,Fully vaccinated,89
2021,48,2021-11-28,Deaths,Not fully vaccinated,174
2021,48,2021-11-28,Hospitalizations,Fully vaccinated,400
2021,48,2021-11-28,Hospitalizations,Not fully vaccinated,968
2021,49,2021-12-05,Cases,Fully vaccinated,8444
2021,49,2021-12-05,Cases,Not fully vaccinated,11157
2021,49,2021-12-05,Deaths,Fully vaccinated,70
2021,49,2021-12-05,Deaths,Not fully vaccinated,163
2021,49,2021-12-05,Hospitalizations,Fully vaccinated,288
2021,49,2021-12-05,Hospitalizations,Not fully vaccinated,851
2021,50,2021-12-12,Cases,Fully vaccinated,8266
2021,50,2021-12-12,Cases,Not fully vaccinated,9860
2021,50,2021-12-12,Deaths,Fully vaccinated,49
2021,50,2021-12-12,Deaths,Not fully vaccinated,139
2021,50,2021-12-12,Hospitalizations,Fully vaccinated,247
2021,50,2021-12-12,Hospitalizations,Not fully vaccinated,713
2021,51,2021-12-19,Cases,Fully vaccinated,11468
2021,51,2021-12-19,Cases,Not fully vaccinated,9198
2021,51,2021-12-19,Deaths,Fully vaccinated,39
2021,51,2021-12-19,Deaths,Not fully vaccinated,117
2021,51,2021-12-19,Hospitalizations,Fully vaccinated,224
2021,51,2021-12-19,Hospitalizations,Not fully vaccinated,602
2021,52,2021-12-26,Cases,Fully vaccinated,28705
2021,52,2021-12-26,Cases,Not fully vaccinated,16999
2021,52,2021-12-26,Deaths,Fully vaccinated,61
2021,52,2021-12-26,Deaths,Not fully vaccinated,104
2021,52,2021-12-26,Hospitalizations,Fully vaccinated,392
2021,52,2021-12-26,Hospitalizations,Not fully vaccinated,598
2022,01,2022-01-02,Cases,Fully vaccinated,50962
2022,01,2022-01-02,Cases,Not fully vaccinated,30131
2022,01,2022-01-02,Deaths,Fully vaccinated,112
2022,01,2022-01-02,Deaths,Not fully vaccinated,115
2022,01,2022-01-02,Hospitalizations,Fully vaccinated,702
2022,01,2022-01-02,Hospitalizations,Not fully vaccinated,829
2022,02,2022-01-09,Cases,Fully vaccinated,45644
2022,02,2022-01-09,Cases,Not fully vaccinated,33029
2022,02,2022-01-09,Deaths,Fully vaccinated,130
2022,02,2022-01-09,Deaths,Not fully vaccinated,105
2022,02,2022-01-09,Hospitalizations,Fully vaccinated,709
2022,02,2022-01-09,Hospitalizations,Not fully vaccinated,813
2022,03,2022-01-16,Cases,Fully vaccinated,38983
2022,03,2022-01-16,Cases,Not fully vaccinated,20638
2022,03,2022-01-16,Deaths,Fully vaccinated,106
2022,03,2022-01-16,Deaths,Not fully vaccinated,84
2022,03,2022-01-16,Hospitalizations,Fully vaccinated,780
