date,day,new_hosp,new_icu,new_deaths,new_cases,new_nonicu,cases_complete,deaths_complete
2020-02-29,Saturday,1,NA,NA,NA,NA,TRUE,TRUE
2020-03-01,Sunday,0,0,0,0,0,TRUE,TRUE
2020-03-02,Monday,0,0,0,0,0,TRUE,TRUE
2020-03-03,Tuesday,0,0,0,0,0,TRUE,TRUE
2020-03-04,Wednesday,0,0,0,0,0,TRUE,TRUE
2020-03-05,Thursday,0,0,0,1,0,TRUE,TRUE
2020-03-06,Friday,0,0,0,0,0,TRUE,TRUE
2020-03-07,Saturday,0,0,0,1,0,TRUE,TRUE
2020-03-08,Sunday,0,0,0,0,0,TRUE,TRUE
2020-03-09,Monday,1,1,0,3,0,TRUE,TRUE
2020-03-10,Tuesday,0,0,0,6,0,TRUE,TRUE
2020-03-11,Wednesday,1,0,0,10,1,TRUE,TRUE
2020-03-12,Thursday,2,0,0,22,2,TRUE,TRUE
2020-03-13,Friday,0,0,0,19,0,TRUE,TRUE
2020-03-14,Saturday,1,0,0,29,1,TRUE,TRUE
2020-03-15,Sunday,2,0,0,39,2,TRUE,TRUE
2020-03-16,Monday,4,0,0,51,4,TRUE,TRUE
2020-03-17,Tuesday,2,0,0,67,2,TRUE,TRUE
2020-03-18,Wednesday,3,2,0,23,1,TRUE,TRUE
2020-03-19,Thursday,10,1,1,18,9,TRUE,TRUE
2020-03-20,Friday,4,2,0,16,2,TRUE,TRUE
2020-03-21,Saturday,6,1,0,24,5,TRUE,TRUE
2020-03-22,Sunday,6,3,0,22,3,TRUE,TRUE
2020-03-23,Monday,8,0,0,45,8,TRUE,TRUE
2020-03-24,Tuesday,12,4,1,51,8,TRUE,TRUE
2020-03-25,Wednesday,14,6,1,58,8,TRUE,TRUE
2020-03-26,Thursday,24,9,2,64,15,TRUE,TRUE
2020-03-27,Friday,14,6,4,75,8,TRUE,TRUE
2020-03-28,Saturday,19,11,3,47,8,TRUE,TRUE
2020-03-29,Sunday,16,8,0,38,8,TRUE,TRUE
2020-03-30,Monday,12,4,6,98,8,TRUE,TRUE
2020-03-31,Tuesday,17,5,2,94,12,TRUE,TRUE
2020-04-01,Wednesday,25,10,5,57,15,TRUE,TRUE
2020-04-02,Thursday,24,12,3,86,12,TRUE,TRUE
2020-04-03,Friday,16,9,1,63,7,TRUE,TRUE
2020-04-04,Saturday,12,4,5,37,8,TRUE,TRUE
2020-04-05,Sunday,23,7,4,60,16,TRUE,TRUE
2020-04-06,Monday,23,7,10,113,16,TRUE,TRUE
2020-04-07,Tuesday,28,5,6,103,23,TRUE,TRUE
2020-04-08,Wednesday,20,7,7,102,13,TRUE,TRUE
2020-04-09,Thursday,30,16,8,104,14,TRUE,TRUE
2020-04-10,Friday,21,6,6,94,15,TRUE,TRUE
2020-04-11,Saturday,16,7,4,75,9,TRUE,TRUE
2020-04-12,Sunday,34,11,4,57,23,TRUE,TRUE
2020-04-13,Monday,26,10,10,147,16,TRUE,TRUE
2020-04-14,Tuesday,36,16,6,156,20,TRUE,TRUE
2020-04-15,Wednesday,42,9,17,152,33,TRUE,TRUE
2020-04-16,Thursday,28,11,10,184,17,TRUE,TRUE
2020-04-17,Friday,32,17,17,180,15,TRUE,TRUE
2020-04-18,Saturday,32,11,17,122,21,TRUE,TRUE
2020-04-19,Sunday,24,8,17,126,16,TRUE,TRUE
2020-04-20,Monday,38,13,20,277,25,TRUE,TRUE
2020-04-21,Tuesday,39,11,27,263,28,TRUE,TRUE
2020-04-22,Wednesday,48,11,20,307,37,TRUE,TRUE
2020-04-23,Thursday,46,11,19,536,35,TRUE,TRUE
2020-04-24,Friday,49,12,23,523,37,TRUE,TRUE
2020-04-25,Saturday,42,12,18,340,30,TRUE,TRUE
2020-04-26,Sunday,46,15,17,386,31,TRUE,TRUE
2020-04-27,Monday,61,14,22,680,47,TRUE,TRUE
2020-04-28,Tuesday,50,16,14,608,34,TRUE,TRUE
2020-04-29,Wednesday,65,22,30,686,43,TRUE,TRUE
2020-04-30,Thursday,58,19,18,651,39,TRUE,TRUE
2020-05-01,Friday,61,18,31,623,43,TRUE,TRUE
2020-05-02,Saturday,72,30,18,338,42,TRUE,TRUE
2020-05-03,Sunday,65,17,28,340,48,TRUE,TRUE
2020-05-04,Monday,60,23,25,825,37,TRUE,TRUE
2020-05-05,Tuesday,60,19,19,650,41,TRUE,TRUE
2020-05-06,Wednesday,70,25,25,641,45,TRUE,TRUE
2020-05-07,Thursday,59,21,30,821,38,TRUE,TRUE
2020-05-08,Friday,62,20,20,712,42,TRUE,TRUE
2020-05-09,Saturday,63,15,25,280,48,TRUE,TRUE
2020-05-10,Sunday,55,15,19,230,40,TRUE,TRUE
2020-05-11,Monday,61,18,25,821,43,TRUE,TRUE
2020-05-12,Tuesday,54,17,20,662,37,TRUE,TRUE
2020-05-13,Wednesday,72,17,23,735,55,TRUE,TRUE
2020-05-14,Thursday,60,13,19,799,47,TRUE,TRUE
2020-05-15,Friday,65,12,21,803,53,TRUE,TRUE
2020-05-16,Saturday,76,23,20,347,53,TRUE,TRUE
2020-05-17,Sunday,57,20,22,313,37,TRUE,TRUE
2020-05-18,Monday,69,19,22,980,50,TRUE,TRUE
2020-05-19,Tuesday,86,22,30,862,64,TRUE,TRUE
2020-05-20,Wednesday,81,25,25,757,56,TRUE,TRUE
2020-05-21,Thursday,84,16,17,988,68,TRUE,TRUE
2020-05-22,Friday,69,22,20,790,47,TRUE,TRUE
2020-05-23,Saturday,63,20,27,402,43,TRUE,TRUE
2020-05-24,Sunday,57,17,24,359,40,TRUE,TRUE
2020-05-25,Monday,67,15,31,409,52,TRUE,TRUE
2020-05-26,Tuesday,78,16,29,802,62,TRUE,TRUE
2020-05-27,Wednesday,61,20,24,681,41,TRUE,TRUE
2020-05-28,Thursday,53,25,21,578,28,TRUE,TRUE
2020-05-29,Friday,49,12,17,460,37,TRUE,TRUE
2020-05-30,Saturday,39,12,11,169,27,TRUE,TRUE
2020-05-31,Sunday,42,16,20,142,26,TRUE,TRUE
2020-06-01,Monday,62,16,24,588,46,TRUE,TRUE
2020-06-02,Tuesday,38,11,22,488,27,TRUE,TRUE
2020-06-03,Wednesday,30,6,26,527,24,TRUE,TRUE
2020-06-04,Thursday,42,11,25,409,31,TRUE,TRUE
2020-06-05,Friday,31,5,19,413,26,TRUE,TRUE
2020-06-06,Saturday,39,8,13,164,31,TRUE,TRUE
2020-06-07,Sunday,37,18,20,138,19,TRUE,TRUE
2020-06-08,Monday,44,7,11,485,37,TRUE,TRUE
2020-06-09,Tuesday,32,6,13,457,26,TRUE,TRUE
2020-06-10,Wednesday,37,7,9,404,30,TRUE,TRUE
2020-06-11,Thursday,29,6,13,348,23,TRUE,TRUE
2020-06-12,Friday,29,8,11,311,21,TRUE,TRUE
2020-06-13,Saturday,21,10,12,152,11,TRUE,TRUE
2020-06-14,Sunday,27,8,11,150,19,TRUE,TRUE
2020-06-15,Monday,36,8,8,420,28,TRUE,TRUE
2020-06-16,Tuesday,24,8,9,413,16,TRUE,TRUE
2020-06-17,Wednesday,28,7,17,431,21,TRUE,TRUE
2020-06-18,Thursday,24,9,9,393,15,TRUE,TRUE
2020-06-19,Friday,39,8,8,349,31,TRUE,TRUE
2020-06-20,Saturday,25,12,12,223,13,TRUE,TRUE
2020-06-21,Sunday,30,7,11,199,23,TRUE,TRUE
2020-06-22,Monday,33,11,6,498,22,TRUE,TRUE
2020-06-23,Tuesday,28,13,10,594,15,TRUE,TRUE
2020-06-24,Wednesday,29,8,1,518,21,TRUE,TRUE
2020-06-25,Thursday,28,9,9,490,19,TRUE,TRUE
2020-06-26,Friday,25,10,6,531,15,TRUE,TRUE
2020-06-27,Saturday,18,8,5,281,10,TRUE,TRUE
2020-06-28,Sunday,19,6,12,244,13,TRUE,TRUE
2020-06-29,Monday,39,6,6,611,33,TRUE,TRUE
2020-06-30,Tuesday,34,12,9,614,22,TRUE,TRUE
2020-07-01,Wednesday,21,6,2,651,15,TRUE,TRUE
2020-07-02,Thursday,27,9,3,587,18,TRUE,TRUE
2020-07-03,Friday,26,1,5,438,25,TRUE,TRUE
2020-07-04,Saturday,25,6,4,102,19,TRUE,TRUE
